latitude,longitude,location_type
38.750565,-105.173815,destination charger
30.221297,-98.717631,destination charger
43.763336,-103.616731,destination charger
43.766022,-103.597891,destination charger
38.005444,-91.620361,destination charger
42.318736,-90.393536,destination charger
32.982877,-117.270151,destination charger
35.920625,-83.252367,destination charger
33.675874,-111.967054,destination charger
33.844994,-84.370185,destination charger
38.000691,-87.346585,destination charger
33.5666361,-111.9186835,destination charger
25.668996,-80.28516,destination charger
35.342588,-83.890898,destination charger
25.653199,-80.328879,destination charger
41.7572461,-70.495236,destination charger
32.215999,-111.050273,destination charger
37.162493,-80.427376,destination charger
41.880154,-70.598013,destination charger
39.1270371,-123.7144402,destination charger
43.481636,-110.766554,destination charger
34.235388,-77.82831,destination charger
41.467078,-70.601146,destination charger
39.0708248,-78.0936848,destination charger
38.9035488,-79.2661629,destination charger
41.857481,-80.965938,destination charger
27.301358,-80.731338,destination charger
39.9948422,-76.2884552,destination charger
44.083061,-122.986836,destination charger
38.0524297,-84.7365301,destination charger
43.482875,-110.762738,destination charger
33.935974,-117.27492,destination charger
36.210164,-94.136539,destination charger
39.199222,-120.217786,destination charger
41.0942381,-73.7098113,destination charger
46.3348553,-124.0550737,destination charger
37.705601,-112.852421,destination charger
26.700225,-80.05789,destination charger
41.920833,-91.494521,destination charger
43.3588962,-70.4738513,destination charger
37.5447,-122.29011,supercharger
40.32244,-74.4869,supercharger
29.275728,-94.855293,destination charger
34.743791,-120.276887,destination charger
45.3862407,-84.9277414,destination charger
38.142564,-120.495249,destination charger
37.299769,-122.115738,destination charger
43.296473,-87.987773,destination charger
39.396087,-80.302112,destination charger
42.9797166,-78.5957239,destination charger
44.438074,-68.26616,destination charger
39.424961,-82.52534,destination charger
42.346346,-71.084324,destination charger
35.597588,-120.829814,destination charger
41.264464,-73.00471,destination charger
40.905323,-74.709445,destination charger
35.81792,-83.501509,destination charger
33.484047,-79.095578,destination charger
40.778221,-73.985072,destination charger
43.3491695,-70.4729397,destination charger
47.6270468,-122.3149606,destination charger
41.283656,-72.350958,destination charger
43.623536,-72.3258949,supercharger
44.804582,-106.956345,supercharger
